Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
29927153,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
29960583,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
30427282,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
30466327,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
30927474,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
30968516,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
31427639,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
31472331,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
31927885,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
31976417,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
32428006,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
32480399,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
32928219,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
32984387,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
33428356,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
33488251,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
33928479,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
33992119,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
34428402,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
34496086,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
34928721,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
35000230,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
35428752,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
35504069,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
35929013,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
36008051,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
36429151,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
36511919,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
36929098,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
37015951,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
37429219,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
37519967,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
37929406,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
38023882,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
38429689,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
38527841,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
38929792,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
39031899,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
39430010,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
39536198,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
39930065,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
40039690,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
40430183,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
40543705,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
40930408,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
41047550,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
41430480,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
